,pair,pvalue,hurst_exp,half_life,avg_cross_count,SharpeRatio,Annualised Return(%),Max Drawdown(%),Annualised Volatility(%)
369,"('Industry-Industry - 000157.SZ.csv', 'Materials-Materials - 002493.SZ.csv')",4.1917835440557203e-19,-0.007729578541541473,59.81454435436947,127.29363449691992,3.1036162540246974,3.999477690483435,18.984393498402113,14.163868865316001
393,"('Industry-Industry - 000338.SZ.csv', 'Industry-Industry - 600893.SH.csv')",7.712173674673242e-29,0.0043499697715420425,23.792319219121335,131.60574948665297,9.770999234539303,6.3457461522513166,15.878477384358545,16.27792715636397
480,"('Industry-Industry - 000768.SZ.csv', 'Materials-Materials - 600219.SH.csv')",1.3312569301346001e-11,-0.003680811164553645,59.10337886584656,128.32854209445586,1.837384136067633,6.212991327795684,16.773705478834042,17.903103153151978
559,"('Industry-Industry - 600039.SH.csv', 'Industry-Industry - 601117.SH.csv')",0.0,-0.005920351337442471,81.63794672840336,126.60369609856264,3.927987453738272,10.767942203844266,15.893915431842979,15.754997098261695
603,"('Industry-Industry - 600089.SH.csv', 'Materials-Materials - 600010.SH.csv')",4.012674372840421e-12,-0.006185510345022005,23.961880564363685,130.05338809034907,1.7261971185402625,21.660656751747425,15.87575542594247,18.71916648540435
891,"('Materials-Materials - 000708.SZ.csv', 'Materials-Materials - 600547.SH.csv')",5.5062517525247185e-19,-0.00026011425198623747,22.669260400491716,129.3634496919918,2.9728641546549692,14.552521577110552,16.484027522540178,16.526484591352656
966,"('Materials-Materials - 002601.SZ.csv', 'Materials-Materials - 600547.SH.csv')",1.4500447228132283e-18,-0.0006957087486630153,17.997633645526978,127.9835728952772,1.6485935165236552,12.960694634731617,19.243559480229234,14.92576397807214
968,"('Materials-Materials - 002601.SZ.csv', 'Materials-Materials - 601899.SH.csv')",5.239956264240998e-18,-0.004323406078837199,28.403360147728403,126.60369609856264,1.8340709740005268,4.02318669570567,28.11023919170172,15.252708744732235
971,"('Materials-Materials - 002601.SZ.csv', 'Utilities-Utilities - 600803.SH.csv')",8.165702446500283e-12,0.010529691608205934,33.88513997356255,126.25872689938399,1.8340709740005268,4.02318669570567,28.11023919170172,15.252708744732235
978,"('Materials-Materials - 002648.SZ.csv', 'Materials-Materials - 600547.SH.csv')",6.245224485473283e-23,-0.0010157651973903355,19.803188806222334,127.29363449691992,2.434194609649319,17.456401275191094,23.84081666099405,22.340539335912087
980,"('Materials-Materials - 002648.SZ.csv', 'Materials-Materials - 601899.SH.csv')",4.5895830996812957e-20,-0.005866863790207883,45.965884347386236,125.22381930184805,1.5209017859052645,25.769941901907423,16.463320529273798,20.529599153524135
1029,"('Materials-Materials - 600426.SH.csv', 'Materials-Materials - 600547.SH.csv')",1.1972978902504208e-21,-0.00025140971466703976,26.39154691684506,127.29363449691992,6.1086079739898285,5.6976039289515015,9.60717894331484,14.374299927046813
1406,"('Consumer Discretionary-Consumer Discretionary - 600104.SH.csv', 'Finance-Finance - 600000.SH.csv')",3.4173218193579224e-17,0.009777925318284865,12.69728717710223,120.56673511293634,3.9368428603456698,5.79447951619218,7.682993489846798,8.321157495646002
1408,"('Consumer Discretionary-Consumer Discretionary - 600104.SH.csv', 'Finance-Finance - 600016.SH.csv')",5.119032180376224e-21,0.011119967652454698,10.542775404648955,125.39630390143738,2.4460875602241923,6.95792254986865,8.11589508871938,8.267038685957875
1411,"('Consumer Discretionary-Consumer Discretionary - 600104.SH.csv', 'Finance-Finance - 601166.SH.csv')",1.8707089319735163e-20,0.004848620094967741,14.995925578966405,121.42915811088297,2.391861358328031,10.985701634279001,9.843268131183414,10.767984618023712
1414,"('Consumer Discretionary-Consumer Discretionary - 600104.SH.csv', 'Finance-Finance - 601318.SH.csv')",4.21616625214182e-22,0.007018469806702142,11.003895616161474,127.1211498973306,2.6721277182258145,7.0706858494049545,9.989707518118502,9.32818077594317
1416,"('Consumer Discretionary-Consumer Discretionary - 600104.SH.csv', 'Finance-Finance - 601398.SH.csv')",2.493020478199521e-16,-0.003754014485518022,51.84893981588503,127.8110882956879,5.241120622007591,4.772166075536543,13.411132638807816,9.21494425315307
1418,"('Consumer Discretionary-Consumer Discretionary - 600104.SH.csv', 'Finance-Finance - 601628.SH.csv')",4.922629074950917e-21,0.007324568337317746,11.266513398391837,128.50102669404518,2.1024583785098576,11.737929304813923,13.80208236412811,12.39318268730543
1419,"('Consumer Discretionary-Consumer Discretionary - 600104.SH.csv', 'Finance-Finance - 601818.SH.csv')",5.949741528783948e-12,0.00862798297913882,14.944830954099894,125.39630390143738,2.304534541646335,3.079780451410749,9.398285819828422,8.505601083330008
1420,"('Consumer Discretionary-Consumer Discretionary - 600104.SH.csv', 'Finance-Finance - 601939.SH.csv')",2.0678861198902675e-21,0.008903773307832496,11.567795516246852,126.08624229979466,3.6657277195331517,6.234061961418766,12.176181677603019,9.534562153181701
1421,"('Consumer Discretionary-Consumer Discretionary - 600104.SH.csv', 'Finance-Finance - 601988.SH.csv')",6.789806816798495e-09,-0.006744899116102058,48.49976722065293,125.5687885010267,2.901424104912097,6.239049217486353,14.588960263693087,9.024341074474393
1422,"('Consumer Discretionary-Consumer Discretionary - 600104.SH.csv', 'Finance-Finance - 601998.SH.csv')",6.990615325371339e-18,0.009965653690877615,11.800608734989385,128.84599589322383,4.196030111334479,7.114067960534533,14.466109276821756,10.946625326671423
